feature,drift_type,baseline_missing_rate,batch_missing_rate,absolute_difference,threshold,drift_flag,baseline_mean,batch_mean,baseline_std,std_multiplier,status
Age,missingness,0.0,0.0,0.0,0.2,False,,,,,
Number of sexual partners,missingness,0.028333333333333332,0.0,0.028333333333333332,0.2,False,,,,,
First sexual intercourse,missingness,0.006666666666666667,0.0,0.006666666666666667,0.2,False,,,,,
Num of pregnancies,missingness,0.06166666666666667,0.05263157894736842,0.00903508771929825,0.2,False,,,,,
Smokes,missingness,0.02,0.0,0.02,0.2,False,,,,,
Smokes (years),missingness,0.02,0.0,0.02,0.2,False,,,,,
Smokes (packs/year),missingness,0.02,0.0,0.02,0.2,False,,,,,
Hormonal Contraceptives,missingness,0.145,0.05263157894736842,0.09236842105263157,0.2,False,,,,,
Hormonal Contraceptives (years),missingness,0.145,0.05263157894736842,0.09236842105263157,0.2,False,,,,,
IUD,missingness,0.15333333333333332,0.10526315789473684,0.048070175438596485,0.2,False,,,,,
IUD (years),missingness,0.15333333333333332,0.10526315789473684,0.048070175438596485,0.2,False,,,,,
STDs,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs (number),missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs:condylomatosis,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs:cervical condylomatosis,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs:vaginal condylomatosis,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs:vulvo-perineal condylomatosis,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs:syphilis,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs:pelvic inflammatory disease,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs:genital herpes,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs:molluscum contagiosum,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs:AIDS,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs:HIV,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs:Hepatitis B,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs:HPV,missingness,0.13833333333333334,0.10526315789473684,0.0330701754385965,0.2,False,,,,,
STDs: Number of diagnosis,missingness,0.0,0.0,0.0,0.2,False,,,,,
STDs: Time since first diagnosis,missingness,0.9116666666666666,0.9473684210526315,0.0357017543859649,0.2,False,,,,,
STDs: Time since last diagnosis,missingness,0.9116666666666666,0.9473684210526315,0.0357017543859649,0.2,False,,,,,
Dx:Cancer,missingness,0.0,0.0,0.0,0.2,False,,,,,
Dx:CIN,missingness,0.0,0.0,0.0,0.2,False,,,,,
Dx:HPV,missingness,0.0,0.0,0.0,0.2,False,,,,,
Dx,missingness,0.0,0.0,0.0,0.2,False,,,,,
Age,numeric_mean_shift,,,2.000438596491229,16.536893207325036,False,26.841666666666665,28.842105263157894,8.268446603662518,2.0,evaluated
Number of sexual partners,numeric_mean_shift,,,0.2428455357948902,2.8426416589727617,False,2.4939965694682678,2.736842105263158,1.4213208294863808,2.0,evaluated
First sexual intercourse,numeric_mean_shift,,,0.5005298481102081,5.682685168240056,False,17.026845637583893,16.526315789473685,2.841342584120028,2.0,evaluated
Num of pregnancies,numeric_mean_shift,,,0.49003355042431407,2.8898958042130354,False,2.2877442273534636,2.7777777777777777,1.4449479021065177,2.0,evaluated
Smokes (years),numeric_mean_shift,,,0.014613753375402938,8.348377098938085,False,1.277771648112245,1.263157894736842,4.174188549469043,2.0,evaluated
Smokes (packs/year),numeric_mean_shift,,,0.5030081053683675,5.168814372783842,False,0.5300187436683674,0.027010638299999997,2.584407186391921,2.0,evaluated
Hormonal Contraceptives (years),numeric_mean_shift,,,1.837549316723197,6.657269590848602,False,2.148561794387914,3.986111111111111,3.328634795424301,2.0,evaluated
IUD (years),numeric_mean_shift,,,0.5039138490041686,3.8999663494184356,False,0.5380314960629922,0.03411764705882353,1.9499831747092178,2.0,evaluated
STDs (number),numeric_mean_shift,,,0.12686312435999547,1.1281255676643072,False,0.18568665377176016,0.058823529411764705,0.5640627838321536,2.0,evaluated
STDs: Time since first diagnosis,numeric_mean_shift,,,4.7924528301886795,12.29357862754772,False,6.7924528301886795,2.0,6.14678931377386,2.0,evaluated
STDs: Time since last diagnosis,numeric_mean_shift,,,4.415094339622642,11.96426706915961,False,6.415094339622642,2.0,5.982133534579805,2.0,evaluated
STDs: Number of diagnosis,numeric_mean_shift,,,0.04070175438596492,0.6264793288460052,False,0.09333333333333334,0.05263157894736842,0.3132396644230026,2.0,evaluated
